,Country,Job Title,Rural,Quantity,Percentage
0,AT,Data Keyer,Urban,1,2%
1,AT,Data Coordinator,Rural,2,4%
2,AT,Database Marketing Analyst,Rural,1,2%
3,AT,Database Security Administrator,Rural,1,2%
4,AT,Database Security Administrator,Urban,2,4%
5,AT,Clinical Data Specialist,Rural,1,2%
6,AT,Data Administrator,Rural,1,2%
7,AT,Database Engineer,Rural,2,4%
8,AT,"Naval Tactical Data System--Combat Information Center Watch Officer, General",Rural,1,2%
9,AT,"Naval Tactical Data System--Combat Information Center Watch Officer, General",Urban,1,2%
10,AT,Database Administration Manager,Urban,1,2%
11,AT,Data Management Associate,Urban,1,2%
12,AT,Maintenance Data Analyst,Urban,1,2%
13,AT,Data Entry Specialist,Rural,1,2%
14,AT,Database Software Technician,Rural,2,4%
15,AT,Crime Data Specialist,Urban,1,2%
16,AT,Data Warehousing Engineer,Rural,1,2%
17,AT,Data Warehousing Engineer,Urban,4,7%
18,AT,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,1,2%
19,AT,Database Development and Administration Project Manager,Rural,1,2%
20,AT,Field Artillery Automated Tactical Data System Specialist,Urban,1,2%
21,AT,Database Modeler,Urban,1,2%
22,AT,Data Coder Operator,Rural,1,2%
23,AT,Data Base Design Analyst,Rural,1,2%
24,AT,Data Base Design Analyst,Urban,1,2%
25,AT,Database Administration Associate,Urban,1,2%
26,AT,Geographic Information Systems Data Manager (GIS Data Manager),Rural,1,2%
27,AT,Database Design Analyst,Rural,1,2%
28,AT,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Rural,1,2%
29,AT,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,1,2%
30,AT,Data Management Information Technology Specialist,Urban,1,2%
31,AT,Data Officer,Urban,2,4%
32,AT,Database Coordinator,Urban,1,2%
33,AT,Data Systems Manager,Urban,1,2%
34,AT,Data Warehouse Developer,Rural,1,2%
35,AT,Automatic Data Processing Planner,Rural,1,2%
36,AT,Automatic Data Processing Planner,Urban,1,2%
37,AT,Data Communications Software Consultant,Rural,1,2%
38,AT,Data Communications Software Consultant,Urban,1,2%
39,AT,Electronic Data Processing Auditor (EDP Auditor),Urban,1,2%
40,AT,Internet Database Specialist,Rural,1,2%
41,AT,Data Entry Representative,Urban,1,2%
42,AT,Data Security Analyst,Rural,1,2%
43,AT,Data Security Analyst,Urban,1,2%
44,AT,Geographic Information Systems Data Administrator (GIS Data Administrator),Rural,1,2%
45,AT,Database Manager,Urban,1,2%
46,AT,Data Processing Systems Project Planner,Urban,1,2%
47,AT,Database Architect,Urban,1,2%
48,AT,Data Processing Auditor,Rural,3,5%
49,AT,GPS Field Data Collector (Global Positioning System Field Data Collector),Rural,1,2%
50,AT,Data Warehousing Manager,Urban,1,2%
51,AT,Geographic Information Systems Database Administrator (GIS Database Administrator),Rural,1,2%
52,AT,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,3,5%
53,AT,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Rural,1,2%
54,AT,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,1,2%
55,AT,Director of Data Operations,Rural,1,2%
56,AT,Database Security Expert,Urban,1,2%
57,AT,Databases Computer Consultant,Rural,1,2%
58,AT,Database Developer,Urban,1,2%
59,AT,Computer or Data Processing Systems Consultant,Rural,1,2%
60,AT,Computer or Data Processing Systems Consultant,Urban,2,4%
61,BE,Marketing Database Analyst,Urban,1,2%
62,BE,Data Coordinator,Urban,1,2%
63,BE,Database Marketing Analyst,Rural,1,2%
64,BE,Database Marketing Analyst,Urban,1,2%
65,BE,Database Security Administrator,Urban,1,2%
66,BE,Flight Data Technician,Urban,1,2%
67,BE,Database Tester,Urban,2,4%
68,BE,Data Administrator,Rural,1,2%
69,BE,Data Administrator,Urban,2,4%
70,BE,Database Engineer,Rural,1,2%
71,BE,Database Engineer,Urban,2,4%
72,BE,Data Storage Specialist,Urban,1,2%
73,BE,Data Management Associate,Urban,1,2%
74,BE,Data Entry Specialist,Rural,1,2%
75,BE,Database Software Technician,Rural,1,2%
76,BE,Crime Data Specialist,Urban,1,2%
77,BE,Data Collector,Urban,1,2%
78,BE,Head of Information Systems and Data Processing,Urban,1,2%
79,BE,Clinical Data Coordinator,Urban,1,2%
80,BE,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,2,4%
81,BE,Database Development and Administration Project Manager,Urban,1,2%
82,BE,Data Warehouse Analyst,Urban,1,2%
83,BE,Field Artillery Automated Tactical Data System Specialist,Rural,1,2%
84,BE,Database Management System Specialist (DBMS Specialist),Rural,1,2%
85,BE,Database Management System Specialist (DBMS Specialist),Urban,1,2%
86,BE,Data Recovery Planner,Rural,1,2%
87,BE,Data Base Design Analyst,Rural,1,2%
88,BE,Clinical Data Associate,Rural,3,5%
89,BE,Data Capture Specialist,Urban,1,2%
90,BE,Database Designer,Urban,2,4%
91,BE,Database Administration Associate,Urban,2,4%
92,BE,Geographic Information Systems Data Manager (GIS Data Manager),Rural,1,2%
93,BE,Geographic Information Systems Data Manager (GIS Data Manager),Urban,2,4%
94,BE,Database Design Analyst,Rural,1,2%
95,BE,Health Data Analyst,Rural,2,4%
96,BE,Health Data Analyst,Urban,1,2%
97,BE,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Rural,1,2%
98,BE,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,1,2%
99,BE,Data Management Information Technology Specialist,Rural,1,2%
100,BE,Data Management Information Technology Specialist,Urban,1,2%
